Framework,8,16,32,64,128,256
vertx,13004,22619,27831,28012,27268,26433
webgo,6881,6612,6768,6636,6591,6235
wicket,3638,6173,7633,8431,8259,8402
go,9814,11088,13413,13472,13216,12649
sinatra-ruby,1469,1446,1334,1296,1289,1297
sinatra-jruby,620,691,692,691,684,674
spring,1732,2997,3321,3731,3792,3874
tapestry,2187,2847,3496,3890,3901,3635
wsgi,2962,3067,3060,3077,3138,3136
cake,59,59,58,58,59,59
gemini,9136,24709,25044,25264,24382,23683
django,1107,1153,1148,1146,1156,1151
compojure,6436,12654,13028,13135,12963,12026
express,7206,5785,7100,6614,7240,7258
grails,1428,1778,1755,1856,1973,2045
nodejs,5947,7829,9763,8616,10541,10398
php,5054,4993,4795,4617,4649,4572
play,4140,4547,4886,5066,5162,5181
rack-jruby,2094,4179,4336,4294,4268,4093
rack-ruby,2160,2164,2135,2022,2044,2009
rails-jruby,677,871,858,862,813,757
rails-ruby,687,664,662,665,660,663
servlet,8465,25100,28190,28745,25795,25467
netty,14341,25935,33926,36610,36717,35701
