Framework,1,5,10,15,20
unfiltered,3809,1064,560,384,282
kohana-raw,334,286,244,214,190
laravel-raw,273,217,173,144,123
codeigniter-raw,525,426,348,294,255
tornado-raw,1057,408,234,166,124
play1,208,208,206,209,207
play1siena,2554,1530,968,707,565
Fuel,238,187,149,123,104
Slim,536,397,298,238,200
vertx,6709,1907,1068,737,552
wicket,5229,1934,1083,737,576
go,1005,200,98,64,47
sinatra-ruby,962,408,245,171,134
sinatra-jruby,367,237,166,125,104
spring,4660,1838,1051,741,572
tapestry,3209,1653,1033,739,575
finagle-future-pool,1842,408,210,139,104
nodejs-mongodb-raw,4608,1909,1112,787,603
finagle,1880,422,214,142,106
lift-stateless,607,562,514,480,450
nodejs-mysql-raw,2361,667,359,249,190
cowboy,3663,1014,520,354,264
snap,2554,578,396,237,211
cake,211,171,142,119,103
gemini,8836,2538,1363,948,719
django,496,223,132,94,72
compojure,4227,1257,676,460,347
express-mongodb,2790,933,497,326,250
grails,2069,1074,678,492,385
express-mysql,1482,397,205,137,104
nodejs-mongodb,3189,975,512,347,263
elli,4041,1050,542,369,277
php,566,389,282,220,181
nodejs-mysql,1577,403,207,138,104
play,1209,560,337,222,150
php-raw,2740,1863,1139,781,610
scalatra-raw,5490,1862,1067,746,565
lithium,264,163,110,83,66
rails-jruby,618,308,190,138,106
rails-ruby,640,316,202,148,115
servlet-raw,7721,2150,1197,805,621
symfony2,109,100,92,85,79
flask,774,343,191,137,105
phreeze,343,313,321,316,300
yesod,3591,969,507,338,244
http-kit,5865,1629,869,582,431
rails-stripped-jruby,740,348,212,152,118
rails-stripped-ruby,780,353,215,157,124
django-stripped,605,247,141,98,75
play-scala,2732,843,457,315,236
silex-raw,262,240,220,202,188
