Framework,8,16,32,64,128,256
lithium,265,266,259,262,253,235
symfony2,151,149,144,139,138,131
unfiltered,3525,4330,4573,4460,4322,4489
openresty,7103,8056,8205,8268,8284,7520
kohana-raw,300,309,307,304,295,287
laravel-raw,259,257,257,250,246,238
codeigniter-raw,494,505,493,485,475,468
silex-raw,262,257,255,252,247,238
play1,1232,1242,1186,1200,1193,1220
rails-stripped-jruby,724,732,726,703,687,633
fuel,232,232,232,225,228,217
slim,498,504,497,495,483,469
dropwizard,2777,3377,3731,3621,3743,3546
micromvc,917,958,967,972,922,899
mojolicious-raw,662,666,665,656,662,658
silex,167,165,163,156,151,145
yesod-mongodb-raw,199,399,798,1597,3129,4358
bottle,1124,1156,1110,1085,1085,1079
compojure-raw,4138,4530,4775,4627,4487,4338
vertx,5518,6359,6959,6908,7050,7226
wicket,4504,5081,5154,5242,5373,5185
go,8057,8870,9279,9505,9213,8740
sinatra-ruby,1009,1018,998,1013,1011,1016
sinatra-jruby,326,348,370,373,366,342
spring,4473,4515,4667,4767,4856,4667
tapestry,2846,3236,3358,3377,3479,3404
finagle-future-pool,1717,1753,1796,1791,1761,1807
nodejs-mongodb-raw,4046,4236,4435,4460,4440,4396
finagle,1839,1871,1672,1396,1771,1858
lift-stateless,497,529,532,542,558,551
nodejs-mysql-raw,2304,2346,2370,2362,2377,2380
onion-raw,8753,7630,7674,7534,7280,7391
cowboy,3616,4047,4191,4197,4144,4072
snap,2739,2702,2742,2676,2722,2589
cake,222,218,215,211,209,195
gemini,7638,8648,8839,9056,9000,7484
django,684,669,641,635,632,637
compojure,3130,3392,3559,3768,3764,3622
express-mongodb,2411,2574,2651,2718,2731,2769
grails,2189,2317,2255,2210,2148,1854
express-mysql,1032,1430,1496,1516,1500,1485
nodejs-mongodb,2781,2935,1640,3053,3159,3108
play-scala-mongodb,2468,2609,2797,3088,3332,3230
flask-mysql-raw,1777,1780,1761,1804,1812,1829
elli,3718,4372,4508,4434,4522,4366
dancer-raw,898,888,902,891,884,892
ringojs-convinient,1388,1393,1398,1415,1261,1168
ringojs-raw,2761,3843,3806,3692,3872,3901
phalcon,720,759,786,773,775,709
spark,420,421,414,373,381,377
kelp-raw,1287,1315,1320,1304,1288,1298
php,556,563,551,544,522,507
nodejs-mysql,1395,1578,1642,1641,1648,1624
play,1064,1204,1298,1340,1348,1375
php-raw,2730,2826,2812,2778,2788,2710
kohana,5038,5536,5676,5843,5774,5532
laravel,293,297,298,294,282,264
rails-jruby,593,619,612,596,584,558
rails-ruby,687,685,677,682,681,677
servlet-raw,7122,8116,8768,8908,8703,8205
play-scala,2485,2568,2875,2962,2934,2898
flask,923,931,820,811,808,810
phreeze,320,340,355,355,337,329
yesod,3170,3678,3775,3785,3758,3798
http-kit,6169,6152,6202,6146,6217,5756
tornado-raw,935,926,954,934,956,951
rails-stripped-ruby,810,819,819,811,815,801
django-stripped,712,737,729,733,733,724
bottle-mysql-raw,2780,2760,2829,2887,2934,2940
codeigniter,117,116,116,115,114,110
scalatra-raw,4176,5112,5113,5290,5129,4978
play1siena,2689,2509,2482,2457,2426,2375
