Framework,1,5,10,15,20
php-raw,2184,2262,2244,2236,2239,2152
spring,1087,2318,2492,2638,2873,2747
rails-jruby,243,304,360,414,442,434
rails-ruby,460,457,454,457,461,460
servlet-raw,4202,4553,4527,4613,4482,4467
play-scala,1858,1993,2202,2310,2445,2515
go,3417,4097,4154,4273,4187,4054
laravel-raw,216,216,213,209,201,199
codeigniter-raw,459,462,464,444,436,427
kohana-raw,291,296,284,288,274,269
gemini,5540,6011,6150,6142,6143,6075
django,363,345,337,345,345,343
compojure,2936,3078,3120,3276,3289,3177
ringojs-raw,1029,1035,1018,1029,1054,1065
fuel,167,164,159,164,163,153
express-mysql,1058,1141,1139,1172,1110,1133
phalcon,630,685,683,676,651,651
ringojs-convinient,144,140,141,141,138,135
