Framework,8,16,32,64,128,256
vertx,4801,5596,5870,5799,5741,5944
wicket,1683,3062,3179,3147,3166,3182
sinatra-ruby,754,722,706,699,699,693
sinatra-jruby,340,348,358,367,364,344
spring,1518,2692,2799,2715,2752,2742
tapestry,1150,2584,2674,2761,2733,2689
nodejs-mysql-raw,2364,1888,2050,1824,1628,2426
cake,34,36,36,36,36,36
gemini,5787,8605,8838,8833,8431,8261
django,425,463,470,466,469,470
compojure,3121,3576,3851,3956,3574,3829
express-mongodb,2129,2717,2635,2561,2015,2853
grails,1066,2091,2148,2152,2133,2093
express-mysql,1426,1271,1061,1174,1071,833
nodejs-mongodb,2881,2292,3021,2876,2928,2203
php,148,147,147,146,146,145
nodejs-mysql,1339,1461,1129,961,1192,903
play,1297,1548,1584,1554,1576,1572
php-raw,2932,3175,2951,2874,2746,2633
rails-jruby,606,623,616,610,584,546
rails-ruby,501,514,505,505,502,502
servlet-raw,4376,7969,8173,8231,8450,7953
