Framework,8,16,32,64,128,256
vertx,14602,23628,27435,27724,27622,27378
webgo,6464,6282,6399,6521,6326,6298
wicket,5369,12195,12925,12983,12981,12179
go,10718,13901,13819,13845,13838,13769
sinatra-ruby,1408,1396,1330,1313,1305,1307
sinatra-jruby,581,640,635,620,600,585
spring,4064,7319,9983,10613,10346,10072
tapestry,4398,10088,10832,10947,10816,9647
wsgi,2743,2962,3083,3135,3177,3208
cake,222,217,208,223,219,215
gemini,9344,22908,25308,24615,22628,22177
django,1076,915,690,1163,1142,1097
compojure,11208,12329,12893,12763,12936,11820
express,3830,6149,6065,7101,3917,5286
grails,2037,4262,3887,4484,4558,4421
nodejs,5453,10421,8972,10776,10815,9041
php,3820,3941,3932,3885,3940,3943
play,3714,3968,4145,4544,4831,4763
rack-jruby,2735,4371,4573,4623,4621,4494
rack-ruby,2353,2520,2354,1988,1981,1976
rails-jruby,706,857,857,843,822,783
rails-ruby,721,655,616,603,597,597
django-stripped,1418,2228,1860,2286,2268,2245
servlet,19195,24771,25511,26440,23692,19224
flask,1590,1633,1702,1746,1751,1757
netty,17475,30812,34093,37777,37929,37644
yesod,2693,2425,2358,2308,2265,2167
http-kit,9065,9604,10213,11779,12569,13599
rails-stripped-jruby,808,1081,1075,1065,1053,1004
rails-stripped-ruby,890,824,774,743,739,733
play-scala,6026,7276,8389,9231,9052,8962
