Framework,8,16,32,64,128,256
vertx,12760,21041,21425,20805,21154,22525
wicket,12140,33938,42965,43973,42619,37400
sinatra-ruby,3417,3649,3654,3598,3594,3573
sinatra-jruby,732,731,720,705,670,608
spring,11263,25163,30788,30048,30808,27467
tapestry,11032,22790,22825,26767,27656,22853
nodejs-mysql-raw,7646,10270,6788,8448,10505,12576
cake,187,193,195,196,196,196
gemini,15910,31187,58107,86326,96542,91764
django,2001,2435,2464,2464,2465,2465
compojure,11573,20038,25288,28384,27428,25602
express-mongodb,7828,8330,8341,13113,13409,14320
grails,8607,14475,16115,16347,15229,14371
express-mysql,3408,5235,5471,5464,4747,4132
nodejs-mongodb,8911,10429,13345,14108,11996,14548
php,704,793,811,810,808,808
nodejs-mysql,3582,4267,6023,4177,4905,6083
play,5350,6624,6725,6752,6773,6796
php-raw,10217,18897,25507,24330,22981,18997
rails-jruby,2772,2757,2652,2489,2203,644
rails-ruby,2376,2516,2597,2547,2534,2530
servlet-raw,14414,30612,55668,73080,88358,80427
