Framework,8,16,32,64,128,256
netty,56687,109567,204456,215293,217780,219279
openresty,57913,112535,188421,204562,203967,204314
laravel,2110,2227,2209,2171,2113,2041
kohana,3399,3688,3762,3737,3744,3734
play1,12341,12117,11970,11044,10725,10021
play1siena,40907,61695,67951,71503,70982,67546
fuel,1934,2088,2117,2110,2095,2089
slim,4274,4683,4758,4732,4752,4740
tornado,11426,11978,12189,12574,12928,13479
vertx,56667,108347,125135,125313,125355,125931
webgo,38718,75527,78206,78361,79019,78427
wicket,52493,78227,78425,77455,77536,77415
go,45441,95830,175456,192524,195422,200188
sinatra-ruby,1017,1224,1207,1188,1183,1183
sinatra-jruby,3330,3142,3099,3043,2854,2710
spring,47328,74165,88262,93550,91618,86437
phreeze,13,17,44,31,48,77
tapestry,47660,80454,107905,110565,110350,102604
finagle,52695,108815,188561,226801,231782,233415
lift-stateless,19142,27470,33251,35512,38006,39523
onion,66190,112412,217572,228331,229550,231567
wsgi,18178,23176,23389,23404,23418,23398
cowboy,40982,80592,111177,113734,114109,113186
snap,24022,27689,21155,21845,19823,16603
cake,1453,1553,1560,1558,1546,1539
gemini,65174,126708,207161,220380,220126,219490
django,7067,7384,7370,7217,7194,7168
compojure,33242,64695,106710,113120,109387,100206
express,32610,41852,43662,45435,45858,45416
grails,23918,31431,32522,32598,32389,32482
nodejs,43912,57605,70232,70362,72077,72436
servlet,66165,123830,204308,209285,218160,212575
elli,33704,93617,145380,156459,155684,156080
play-scala,21643,38539,43690,43355,43671,43361
lithium,2406,2578,2610,2598,2591,2574
php,26070,35128,38937,38557,38137,39006
play,18254,26140,26161,26396,25997,25631
grizzly-jersey,38394,92946,123041,135405,142143,148086
rack-jruby,22964,28625,29853,29713,29593,27885
rack-ruby,31658,44682,51018,54247,55920,56987
rails-jruby,4183,3986,3879,3631,3172,2381
rails-ruby,4206,4602,4596,4590,4590,4568
django-stripped,13825,13851,13852,13617,13532,13476
symfony2,845,898,896,895,892,889
flask,13000,12905,12822,12642,12494,12385
codeigniter,3479,4004,4220,4211,4179,4141
yesod,44411,89560,92003,98586,92182,98557
http-kit,36071,56354,83018,103193,122511,135394
rails-stripped-jruby,5282,5116,4948,4606,3976,2854
rails-stripped-ruby,5522,6093,6068,6073,6051,6026
silex,2373,2562,2585,2573,2581,2562
unfiltered,40077,74963,93852,118658,145211,169802
scalatra,47591,74552,89605,92407,93047,88730
