Framework,1,5,10,15,20
php-raw,9080,15945,19384,20108,19414,19797
spring,7367,10120,10012,10829,9377,10058
rails-jruby,2303,2392,2348,2243,2081,1803
rails-ruby,1804,1904,1913,1912,1906,1912
servlet-raw,10003,18678,26250,29076,29040,28548
play-scala,6935,11205,12636,13141,13343,13559
go,10481,19707,22728,22976,22945,22877
laravel-raw,1217,1388,1426,1412,1382,1344
codeigniter-raw,2760,3247,3418,3413,3419,3360
kohana-raw,1659,1970,2083,2092,2088,2082
gemini,13299,27407,49595,57169,55723,52502
django,1724,1790,1791,1792,1792,1792
compojure,10007,17368,21115,21916,21165,19974
ringojs-raw,4332,5255,5463,5498,5526,5538
fuel,898,1005,1033,1035,1032,1028
express-mysql,2785,3845,4891,5425,5721,5776
phalcon,2192,4017,4626,4790,4852,4811
ringojs-convinient,444,439,443,438,438,439
