Framework,1,5,10,15,20
vertx,21443,3789,2011,1250,953
wicket,35416,15142,8436,5815,4543
sinatra-ruby,3441,1784,1024,743,586
sinatra-jruby,601,465,531,474,409
spring,22908,13402,7912,5705,4388
tapestry,23415,13191,8281,6037,4732
nodejs-mysql-raw,11929,3195,955,634,632
cake,196,186,175,166,157
gemini,77050,17313,13668,9268,7106
django,2440,1071,635,451,351
compojure,25088,6971,3648,2479,1874
express-mongodb,10849,4225,2098,1272,1179
grails,13693,7887,4978,3718,2986
express-mysql,7660,1629,298,314,271
nodejs-mongodb,12257,4274,2194,1028,894
php,807,688,585,510,452
nodejs-mysql,3897,1632,870,426,151
play,6772,1979,1001,681,518
php-raw,22293,15839,11023,7774,6138
rails-jruby,648,786,640,517,430
rails-ruby,2418,1383,864,641,512
servlet-raw,74022,18708,12001,8207,6192
