Framework,8,16,32,64,128,256
vertx,12793,21217,21463,21097,21314,22224
wicket,13125,32706,43828,46690,46248,43543
sinatra-ruby,3433,3673,3655,3620,3626,3590
sinatra-jruby,508,499,485,484,466,434
spring,13244,29713,38657,40140,39649,34667
tapestry,8656,19200,28119,33277,33686,31093
nodejs-mysql-raw,5930,10143,11685,11691,13107,12935
cake,988,1107,1116,1090,1062,1047
gemini,18510,43819,65676,89327,96870,96005
django,708,1649,1907,2310,2364,2439
compojure,11480,21846,27196,29890,29445,27772
express-mongodb,5261,9799,11286,10958,14596,13948
grails,8841,14908,17323,17216,15823,14858
express-mysql,1577,3161,5775,6350,7263,7938
nodejs-mongodb,6817,12008,14097,15426,16197,17069
php,2472,3521,3811,3905,3932,3901
nodejs-mysql,2017,3500,5787,7659,7432,8372
play,5582,6727,6851,6870,6836,6862
php-raw,10067,21625,25371,26519,23084,22666
rails-jruby,2944,2919,2842,2697,2450,2063
rails-ruby,2356,2522,2604,2550,2532,2522
servlet-raw,16191,43358,66106,82002,82356,78251
flask,2814,3108,3131,3133,3128,3129
yesod,6556,4083,4107,4160,4124,4029
http-kit,7536,7727,7501,7731,7924,7576
rails-stripped-jruby,3413,3443,3341,3159,2858,2350
rails-stripped-ruby,2754,2929,2994,2914,2911,2891
django-stripped,1058,2491,2692,1776,2735,2958
