Framework,8,16,32,64,128,256
vertx,56945,108660,125217,95442,87579,93086
webgo,24932,49857,51321,51553,51307,44728
wicket,40687,78424,79528,63424,80001,79467
go,35124,77413,81296,102643,102081,98624
sinatra-ruby,6578,6133,5000,4686,4609,4593
sinatra-jruby,2818,2793,2797,2791,2779,2718
spring,25082,78976,95664,100745,97940,94052
tapestry,29652,82520,87840,114734,116831,109139
wsgi,18127,22858,23202,23316,23315,23292
cake,1403,1510,1547,1546,1528,1513
gemini,61784,124732,202031,211678,212081,205791
django,5162,6668,6110,5959,7122,7027
compojure,29702,65275,107121,114931,103682,102258
express,30198,36893,41232,43499,42338,44505
grails,13847,31345,32781,33109,33073,30743
nodejs,25374,58771,46304,67775,65334,70967
php,24785,33320,36433,34052,36094,30738
play,18532,24533,26872,26862,26737,25987
rack-jruby,15860,29206,30933,31106,31149,28881
rack-ruby,8866,9536,8512,7718,7261,7702
rails-jruby,4146,3991,3888,3675,3285,2607
rails-ruby,3207,3311,3325,3109,3088,3084
django-stripped,9196,8411,13149,13269,11917,12915
servlet,67950,130118,209030,222690,223522,218605
flask,9867,11375,11506,11486,11459,11471
netty,52089,110110,194468,207518,209255,203006
yesod,18575,22140,21268,22031,22739,21191
http-kit,34261,42537,63456,67957,61347,67818
rails-stripped-jruby,5208,5077,4933,4630,4085,3093
rails-stripped-ruby,4177,4143,4081,3700,3693,3654
play-scala,22916,38767,43743,43611,34481,43622
